,rationality,side,robot,feature,sub_scale,meaning,answers,userID,age,gender,education
0,,,participant,NARS,S1,Situations and Interactions with Robots,0.2916666666666667,R_12hhbwziTC4ZkC4,33,male,MA
1,,,participant,NARS,S2,Social Influence of Robots,0.55,R_12hhbwziTC4ZkC4,33,male,MA
2,,,participant,NARS,S3,Emotions in Interaction with Robots,0.3333333333333333,R_12hhbwziTC4ZkC4,33,male,MA
3,,,participant,BFI,S1,Extraversion,3.375,R_12hhbwziTC4ZkC4,33,male,MA
4,,,participant,BFI,S2,Agreeableness,2.6666666666666665,R_12hhbwziTC4ZkC4,33,male,MA
5,,,participant,BFI,S3,Conscientiousness,3.0,R_12hhbwziTC4ZkC4,33,male,MA
6,,,participant,BFI,S4,Neuroticism,2.875,R_12hhbwziTC4ZkC4,33,male,MA
7,,,participant,BFI,S5,Openness,2.7,R_12hhbwziTC4ZkC4,33,male,MA
8,half,left,red,GODSPEED1,S1,Anthropomorphism,0.5,R_12hhbwziTC4ZkC4,33,male,MA
9,half,left,red,GODSPEED1,S2,Animacy,0.5416666666666666,R_12hhbwziTC4ZkC4,33,male,MA
10,half,left,red,GODSPEED1,S3,Likeability,0.8,R_12hhbwziTC4ZkC4,33,male,MA
11,half,left,red,GODSPEED1,S4,Perceived Intelligence,0.8,R_12hhbwziTC4ZkC4,33,male,MA
12,half,left,red,GODSPEED1,S5,Perceived Safety,0.6666666666666666,R_12hhbwziTC4ZkC4,33,male,MA
13,irrational,right,blue,GODSPEED2,S1,Anthropomorphism,0.375,R_12hhbwziTC4ZkC4,33,male,MA
14,irrational,right,blue,GODSPEED2,S2,Animacy,0.375,R_12hhbwziTC4ZkC4,33,male,MA
15,irrational,right,blue,GODSPEED2,S3,Likeability,0.6,R_12hhbwziTC4ZkC4,33,male,MA
16,irrational,right,blue,GODSPEED2,S4,Perceived Intelligence,0.6666666666666666,R_12hhbwziTC4ZkC4,33,male,MA
17,irrational,right,blue,GODSPEED2,S5,Perceived Safety,0.6666666666666666,R_12hhbwziTC4ZkC4,33,male,MA
18,half,left,red,r_preference,summary,Count (Normalized) participant chose this robot,0.14285714285714285,R_12hhbwziTC4ZkC4,33,male,MA
19,irrational,right,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.8571428571428571,R_12hhbwziTC4ZkC4,33,male,MA
20,irrational,right,blue,q_preference,Q5.1,,2.0,R_12hhbwziTC4ZkC4,33,male,MA
21,irrational,right,blue,q_preference,Q7.1,,2.0,R_12hhbwziTC4ZkC4,33,male,MA
22,irrational,right,blue,q_preference,Q10.1,,2.0,R_12hhbwziTC4ZkC4,33,male,MA
23,irrational,right,blue,q_preference,Q12.1,,2.0,R_12hhbwziTC4ZkC4,33,male,MA
24,irrational,right,blue,q_preference,Q14.1,,2.0,R_12hhbwziTC4ZkC4,33,male,MA
25,half,left,red,q_preference,Q16.1,,1.0,R_12hhbwziTC4ZkC4,33,male,MA
26,irrational,right,blue,q_preference,Q18.1,,2.0,R_12hhbwziTC4ZkC4,33,male,MA
27,,,,q_preference,prefer,Which robot would you prefer?,0.0,R_12hhbwziTC4ZkC4,33,male,MA
28,,,,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,0.0,R_12hhbwziTC4ZkC4,33,male,MA
29,,,,q_preference,member,Which robot do you think will serve as a good jury member?,0.0,R_12hhbwziTC4ZkC4,33,male,MA
30,,,,q_preference,analyst,Which robot do you think will be a better analyst?,0.0,R_12hhbwziTC4ZkC4,33,male,MA
31,,,,q_preference,bartender,Which robot would you like as a bartender?,0.0,R_12hhbwziTC4ZkC4,33,male,MA
32,irrational,right,blue,q_preference,summary,Count (Normalized) participant chose this robot,0.0,R_12hhbwziTC4ZkC4,33,male,MA
33,half,left,red,q_preference,summary,Count (Normalized) participant chose this robot,0.2,R_12hhbwziTC4ZkC4,33,male,MA
34,half,left,red,preference,average,,0.17142857142857143,R_12hhbwziTC4ZkC4,33,male,MA
35,half,left,red,preference,std,,0.04040610178208844,R_12hhbwziTC4ZkC4,33,male,MA
36,irrational,right,blue,preference,average,,0.8571428571428571,R_12hhbwziTC4ZkC4,33,male,MA
37,irrational,right,blue,preference,std,,0.0,R_12hhbwziTC4ZkC4,33,male,MA
38,,,participant,NARS,S1,Situations and Interactions with Robots,0.5,R_3MnAo5QmQVG29YL,33,male,HS
39,,,participant,NARS,S2,Social Influence of Robots,0.5,R_3MnAo5QmQVG29YL,33,male,HS
40,,,participant,NARS,S3,Emotions in Interaction with Robots,0.6666666666666666,R_3MnAo5QmQVG29YL,33,male,HS
41,,,participant,BFI,S1,Extraversion,3.125,R_3MnAo5QmQVG29YL,33,male,HS
42,,,participant,BFI,S2,Agreeableness,3.3333333333333335,R_3MnAo5QmQVG29YL,33,male,HS
43,,,participant,BFI,S3,Conscientiousness,3.2222222222222223,R_3MnAo5QmQVG29YL,33,male,HS
44,,,participant,BFI,S4,Neuroticism,3.0,R_3MnAo5QmQVG29YL,33,male,HS
45,,,participant,BFI,S5,Openness,3.8,R_3MnAo5QmQVG29YL,33,male,HS
46,half,left,red,GODSPEED1,S1,Anthropomorphism,0.25,R_3MnAo5QmQVG29YL,33,male,HS
47,half,left,red,GODSPEED1,S2,Animacy,0.6666666666666666,R_3MnAo5QmQVG29YL,33,male,HS
48,half,left,red,GODSPEED1,S3,Likeability,0.8,R_3MnAo5QmQVG29YL,33,male,HS
49,half,left,red,GODSPEED1,S4,Perceived Intelligence,0.5,R_3MnAo5QmQVG29YL,33,male,HS
50,half,left,red,GODSPEED1,S5,Perceived Safety,0.0,R_3MnAo5QmQVG29YL,33,male,HS
