,rationality,side,robot,feature,sub_scale,meaning,answers,userID,age,gender,education
0,,,participant,NARS,S1,Situations and Interactions with Robots,0.0,R_2fwWymlJrfVh3SC,37,female,BA
1,,,participant,NARS,S2,Social Influence of Robots,0.5,R_2fwWymlJrfVh3SC,37,female,BA
2,,,participant,NARS,S3,Emotions in Interaction with Robots,0.3333333333333333,R_2fwWymlJrfVh3SC,37,female,BA
3,,,participant,BFI,S1,Extraversion,4.625,R_2fwWymlJrfVh3SC,37,female,BA
4,,,participant,BFI,S2,Agreeableness,5.0,R_2fwWymlJrfVh3SC,37,female,BA
5,,,participant,BFI,S3,Conscientiousness,5.0,R_2fwWymlJrfVh3SC,37,female,BA
6,,,participant,BFI,S4,Neuroticism,1.125,R_2fwWymlJrfVh3SC,37,female,BA
7,,,participant,BFI,S5,Openness,4.6,R_2fwWymlJrfVh3SC,37,female,BA
8,rational,right,red,GODSPEED1,S1,Anthropomorphism,0.5,R_2fwWymlJrfVh3SC,37,female,BA
9,rational,right,red,GODSPEED1,S2,Animacy,0.4166666666666667,R_2fwWymlJrfVh3SC,37,female,BA
10,rational,right,red,GODSPEED1,S3,Likeability,0.0,R_2fwWymlJrfVh3SC,37,female,BA
11,rational,right,red,GODSPEED1,S4,Perceived Intelligence,0.0,R_2fwWymlJrfVh3SC,37,female,BA
12,rational,right,red,GODSPEED1,S5,Perceived Safety,0.6666666666666666,R_2fwWymlJrfVh3SC,37,female,BA
13,half,left,blue,GODSPEED2,S1,Anthropomorphism,0.5,R_2fwWymlJrfVh3SC,37,female,BA
14,half,left,blue,GODSPEED2,S2,Animacy,0.4583333333333333,R_2fwWymlJrfVh3SC,37,female,BA
15,half,left,blue,GODSPEED2,S3,Likeability,0.0,R_2fwWymlJrfVh3SC,37,female,BA
16,half,left,blue,GODSPEED2,S4,Perceived Intelligence,0.0,R_2fwWymlJrfVh3SC,37,female,BA
17,half,left,blue,GODSPEED2,S5,Perceived Safety,0.6666666666666666,R_2fwWymlJrfVh3SC,37,female,BA
18,rational,right,red,r_preference,summary,Count (Normalized) participant chose this robot,0.42857142857142855,R_2fwWymlJrfVh3SC,37,female,BA
19,half,left,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.5714285714285714,R_2fwWymlJrfVh3SC,37,female,BA
20,rational,right,red,q_preference,Q5.1,,1.0,R_2fwWymlJrfVh3SC,37,female,BA
21,rational,right,red,q_preference,Q7.1,,1.0,R_2fwWymlJrfVh3SC,37,female,BA
22,half,left,blue,q_preference,Q10.1,,2.0,R_2fwWymlJrfVh3SC,37,female,BA
23,half,left,blue,q_preference,Q12.1,,2.0,R_2fwWymlJrfVh3SC,37,female,BA
24,rational,right,red,q_preference,Q14.1,,1.0,R_2fwWymlJrfVh3SC,37,female,BA
25,half,left,blue,q_preference,Q16.1,,2.0,R_2fwWymlJrfVh3SC,37,female,BA
26,half,left,blue,q_preference,Q18.1,,2.0,R_2fwWymlJrfVh3SC,37,female,BA
27,rational,right,red,q_preference,prefer,choice,5.0,R_2fwWymlJrfVh3SC,37,female,BA
28,half,left,blue,q_preference,portfolio,choice,2.0,R_2fwWymlJrfVh3SC,37,female,BA
29,rational,right,red,q_preference,member,choice,1.0,R_2fwWymlJrfVh3SC,37,female,BA
30,half,left,blue,q_preference,analyst,choice,2.0,R_2fwWymlJrfVh3SC,37,female,BA
31,rational,right,red,q_preference,bartender,choice,1.0,R_2fwWymlJrfVh3SC,37,female,BA
32,rational,right,red,q_preference,summary,Count (Normalized) participant chose this robot,1.0,R_2fwWymlJrfVh3SC,37,female,BA
33,rational,right,red,preference,average,,0.7142857142857143,R_2fwWymlJrfVh3SC,37,female,BA
34,rational,right,red,preference,std,,0.4040610178208843,R_2fwWymlJrfVh3SC,37,female,BA
35,half,left,blue,preference,average,,0.5714285714285714,R_2fwWymlJrfVh3SC,37,female,BA
36,half,left,blue,preference,std,,0.0,R_2fwWymlJrfVh3SC,37,female,BA
37,,,participant,NARS,S1,Situations and Interactions with Robots,0.16666666666666666,R_3MDyFl7SXwGlfUi,32,male,MA
38,,,participant,NARS,S2,Social Influence of Robots,0.75,R_3MDyFl7SXwGlfUi,32,male,MA
39,,,participant,NARS,S3,Emotions in Interaction with Robots,0.3333333333333333,R_3MDyFl7SXwGlfUi,32,male,MA
40,,,participant,BFI,S1,Extraversion,3.0,R_3MDyFl7SXwGlfUi,32,male,MA
41,,,participant,BFI,S2,Agreeableness,2.888888888888889,R_3MDyFl7SXwGlfUi,32,male,MA
42,,,participant,BFI,S3,Conscientiousness,5.0,R_3MDyFl7SXwGlfUi,32,male,MA
43,,,participant,BFI,S4,Neuroticism,1.125,R_3MDyFl7SXwGlfUi,32,male,MA
44,,,participant,BFI,S5,Openness,3.2,R_3MDyFl7SXwGlfUi,32,male,MA
45,rational,right,red,GODSPEED1,S1,Anthropomorphism,0.0,R_3MDyFl7SXwGlfUi,32,male,MA
46,rational,right,red,GODSPEED1,S2,Animacy,0.16666666666666666,R_3MDyFl7SXwGlfUi,32,male,MA
47,rational,right,red,GODSPEED1,S3,Likeability,0.7,R_3MDyFl7SXwGlfUi,32,male,MA
