,rationality,side,robot,feature,sub_scale,meaning,answers,userID,age,gender,education
0,,,participant,NARS,S1,Situations and Interactions with Robots,0.0,R_2fwWymlJrfVh3SC,37,female,BA
1,,,participant,NARS,S2,Social Influence of Robots,0.5,R_2fwWymlJrfVh3SC,37,female,BA
2,,,participant,NARS,S3,Emotions in Interaction with Robots,0.3333333333333333,R_2fwWymlJrfVh3SC,37,female,BA
3,,,participant,BFI,S1,Extraversion,4.625,R_2fwWymlJrfVh3SC,37,female,BA
4,,,participant,BFI,S2,Agreeableness,5.0,R_2fwWymlJrfVh3SC,37,female,BA
5,,,participant,BFI,S3,Conscientiousness,5.0,R_2fwWymlJrfVh3SC,37,female,BA
6,,,participant,BFI,S4,Neuroticism,1.125,R_2fwWymlJrfVh3SC,37,female,BA
7,,,participant,BFI,S5,Openness,4.6,R_2fwWymlJrfVh3SC,37,female,BA
8,rational,right,red,GODSPEED1,S1,Anthropomorphism,0.5,R_2fwWymlJrfVh3SC,37,female,BA
9,rational,right,red,GODSPEED1,S2,Animacy,0.4166666666666667,R_2fwWymlJrfVh3SC,37,female,BA
10,rational,right,red,GODSPEED1,S3,Likeability,0.0,R_2fwWymlJrfVh3SC,37,female,BA
11,rational,right,red,GODSPEED1,S4,Perceived Intelligence,0.0,R_2fwWymlJrfVh3SC,37,female,BA
12,rational,right,red,GODSPEED1,S5,Perceived Safety,0.6666666666666666,R_2fwWymlJrfVh3SC,37,female,BA
13,half,left,blue,GODSPEED2,S1,Anthropomorphism,0.5,R_2fwWymlJrfVh3SC,37,female,BA
14,half,left,blue,GODSPEED2,S2,Animacy,0.4583333333333333,R_2fwWymlJrfVh3SC,37,female,BA
15,half,left,blue,GODSPEED2,S3,Likeability,0.0,R_2fwWymlJrfVh3SC,37,female,BA
16,half,left,blue,GODSPEED2,S4,Perceived Intelligence,0.0,R_2fwWymlJrfVh3SC,37,female,BA
17,half,left,blue,GODSPEED2,S5,Perceived Safety,0.6666666666666666,R_2fwWymlJrfVh3SC,37,female,BA
18,rational,right,red,r_preference,summary,Count (Normalized) participant chose this robot,0.5,R_2fwWymlJrfVh3SC,37,female,BA
19,half,left,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.5,R_2fwWymlJrfVh3SC,37,female,BA
20,,,,q_preference,prefer,Which robot would you prefer?,0.0,R_2fwWymlJrfVh3SC,37,female,BA
21,,,,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,0.0,R_2fwWymlJrfVh3SC,37,female,BA
22,,,,q_preference,member,Which robot do you think will serve as a good jury member?,0.0,R_2fwWymlJrfVh3SC,37,female,BA
23,,,,q_preference,analyst,Which robot do you think will be a better analyst?,0.0,R_2fwWymlJrfVh3SC,37,female,BA
24,,,,q_preference,bartender,Which robot would you like as a bartender?,0.0,R_2fwWymlJrfVh3SC,37,female,BA
25,half,left,blue,q_preference,summary,Count (Normalized) participant chose this robot,0.2,R_2fwWymlJrfVh3SC,37,female,BA
26,rational,right,red,q_preference,summary,Count (Normalized) participant chose this robot,0.2,R_2fwWymlJrfVh3SC,37,female,BA
27,rational,right,red,preference,average,,0.35,R_2fwWymlJrfVh3SC,37,female,BA
28,rational,right,red,preference,std,,0.21213203435596426,R_2fwWymlJrfVh3SC,37,female,BA
29,half,left,blue,preference,average,,0.35,R_2fwWymlJrfVh3SC,37,female,BA
30,half,left,blue,preference,std,,0.21213203435596426,R_2fwWymlJrfVh3SC,37,female,BA
31,,,participant,NARS,S1,Situations and Interactions with Robots,0.16666666666666666,R_3MDyFl7SXwGlfUi,32,male,MA
32,,,participant,NARS,S2,Social Influence of Robots,0.75,R_3MDyFl7SXwGlfUi,32,male,MA
33,,,participant,NARS,S3,Emotions in Interaction with Robots,0.3333333333333333,R_3MDyFl7SXwGlfUi,32,male,MA
34,,,participant,BFI,S1,Extraversion,3.0,R_3MDyFl7SXwGlfUi,32,male,MA
35,,,participant,BFI,S2,Agreeableness,2.888888888888889,R_3MDyFl7SXwGlfUi,32,male,MA
36,,,participant,BFI,S3,Conscientiousness,5.0,R_3MDyFl7SXwGlfUi,32,male,MA
37,,,participant,BFI,S4,Neuroticism,1.125,R_3MDyFl7SXwGlfUi,32,male,MA
38,,,participant,BFI,S5,Openness,3.2,R_3MDyFl7SXwGlfUi,32,male,MA
39,rational,right,red,GODSPEED1,S1,Anthropomorphism,0.0,R_3MDyFl7SXwGlfUi,32,male,MA
40,rational,right,red,GODSPEED1,S2,Animacy,0.16666666666666666,R_3MDyFl7SXwGlfUi,32,male,MA
41,rational,right,red,GODSPEED1,S3,Likeability,0.7,R_3MDyFl7SXwGlfUi,32,male,MA
42,rational,right,red,GODSPEED1,S4,Perceived Intelligence,0.4,R_3MDyFl7SXwGlfUi,32,male,MA
43,rational,right,red,GODSPEED1,S5,Perceived Safety,0.5,R_3MDyFl7SXwGlfUi,32,male,MA
44,half,left,blue,GODSPEED2,S1,Anthropomorphism,0.5,R_3MDyFl7SXwGlfUi,32,male,MA
45,half,left,blue,GODSPEED2,S2,Animacy,0.25,R_3MDyFl7SXwGlfUi,32,male,MA
46,half,left,blue,GODSPEED2,S3,Likeability,0.8,R_3MDyFl7SXwGlfUi,32,male,MA
